Location,Crime Against Women,Female Literacy Rate
Assam,148.53333333333333,83.10000000000001
Delhi,137.54999999999998,80.46666666666667
Odisha,107.21666666666665,70.85000000000001
Haryana,106.3,72.35000000000001
Telangana,100.78333333333335,65.60000000000001
Rajasthan,94.96666666666665,61.06666666666666
Andaman & Nicobar Islands,76.08333333333333,87.39999999999999
Madhya Pradesh,72.98333333333333,67.21666666666667
Andhra Pradesh,71.39999999999999,63.51666666666667
West Bengal,69.71666666666667,77.73333333333333
Chandigarh,68.76666666666667,86.71666666666665
Kerala,65.13333333333334,93.11666666666667
Maharashtra,62.31666666666666,78.3
Chhattisgarh,55.63333333333333,70.75
Jammu & Kashmir,54.43333333333334,70.35000000000001
Uttarakhand,54.26666666666667,76.93333333333334
Uttar Pradesh,53.083333333333336,65.3
Sikkim,48.1,84.13333333333334
Lakshadweep,47.86666666666667,94.39999999999999
Arunachal Pradesh,46.550000000000004,76.91666666666667
Tripura,45.583333333333336,89.26666666666667
Karnataka,44.28333333333333,73.71666666666667
Himachal Pradesh,42.88333333333333,80.88333333333334
Jharkhand,41.13333333333333,66.33333333333333
Meghalaya,38.199999999999996,93.96666666666665
Punjab,37.449999999999996,77.89999999999999
Goa,37.13333333333333,87.83333333333333
Mizoram,35.083333333333336,98.86666666666667
Bihar,30.150000000000002,64.26666666666667
Gujarat,24.916666666666668,76.45
Dadra & Nagar Haveli and Daman & Diu,24,78.56666666666666
Daman & Diu,20.166666666666668,82.63333333333334
Tamil Nadu,18.349999999999998,79.25
Puducherry,18.183333333333334,88.18333333333334
Manipur,17.25,84.66666666666667
Dadra & Nagar Haveli,16.266666666666666,75.39999999999999
Ladakh,10.766666666666666,72.7
Nagaland,5.283333333333333,93.26666666666667
